Strain	0	1	2	3	4	5
USA/NJ-QDX-2191/2020	7	6	2	2	2	2
USA/NJ-QDX-2210/2020	7	6	2	2	2	2
USA/NJ-QDX-2216/2020	7	6	2	2	2	2
USA/NJ-QDX-2250/2020	34	27	20	18	8	1
USA/NJ-QDX-2268/2020	7	6	2	2	2	2
USA/NJ-QDX-2269/2020	7	6	2	2	2	2
USA/NJ-QDX-2273/2020	7	6	2	2	2	2
USA/NJ-QDX-2280/2020	7	6	2	2	2	2
USA/NJ-QDX-2288/2020	7	6	2	2	2	2
USA/NJ-QDX-2294/2020	7	6	2	2	2	2
USA/NJ-QDX-23/2020	24	8	2	2	2	2
USA/NJ-QDX-2432/2020	7	6	2	2	2	2
USA/NJ-QDX-2468/2020	7	6	2	2	2	2
USA/NJ-QDX-2495/2020	7	6	2	2	2	2
USA/NJ-QDX-2518/2020	7	6	2	2	2	2
USA/NJ-QDX-2541/2020	7	6	2	2	2	2
USA/NJ-QDX-39/2020	3	3	3	3	3	2
USA/NJ-QDX-55/2020	35	28	21	19	2	2
USA/NJ-QDX-56/2020	7	6	2	2	2	2
USA/NJ-QDX-74/2020	7	6	2	2	2	2
USA/NJ_3201/2020	24	8	2	2	2	2
USA/NJ_3592/2020	7	6	2	2	2	2
USA/NM-CDC-3589/2020	24	8	2	2	2	2
USA/NM-CDC-KCDB-3705/2020	24	8	2	2	2	2
USA/NM-CDC-KCDH-3706/2020	24	8	2	2	2	2
USA/NM-QDX-2538/2020	7	6	2	2	2	2
USA/NM-UNM-00001/2020	7	6	2	2	2	2
USA/NM-UNM-00002/2020	24	8	2	2	2	2
USA/NM-UNM-00004/2020	24	8	2	2	2	2
USA/NM-UNM-00007/2020	28	21	14	8	2	2
USA/NM-UNM-00009/2020	7	6	2	2	2	2
USA/NM-UNM-00010/2020	7	6	2	2	2	2
USA/NM-UNM-00011/2020	9	8	2	2	2	2
USA/NM-UNM-00012/2020	72	61	52	43	2	2
USA/NM-UNM-00013/2020	7	6	2	2	2	2
USA/NM-UNM-00014/2020	11	10	7	7	6	1
USA/NM-UNM-00015/2020	7	6	2	2	2	2
USA/NM-UNM-00016/2020	7	6	2	2	2	2
USA/NM-UNM-00018/2020	7	6	2	2	2	2
USA/NM-UNM-00019/2020	7	6	2	2	2	2
USA/NM-UNM-00021/2020	9	8	2	2	2	2
USA/NM-UNM-00027/2020	91	78	68	8	2	2
USA/NM-UNM-00034/2020	7	6	2	2	2	2
USA/NM-UNM-00035/2020	9	8	2	2	2	2
USA/NMDOH-2020007244/2020	24	8	2	2	2	2
USA/NV-NSPHL-338695/2020	86	73	46	38	2	2
USA/NV-NSPHL-A0004/2020	3	3	3	3	3	2
USA/NV-NSPHL-A0005/2020	11	10	7	7	6	1
USA/NV-NSPHL-A0006/2020	11	10	7	7	6	1
USA/NV-NSPHL-A0007/2020	26	19	12	11	2	2
USA/NV-NSPHL-A0008/2020	13	3	3	3	3	2
USA/NV-NSPHL-A0009/2020	11	10	7	7	6	1
USA/NV-NSPHL-A0010/2020	11	10	7	7	6	1
USA/NV-NSPHL-A0013/2020	84	71	62	53	16	2
USA/NV-NSPHL-A0014/2020	3	3	3	3	3	2
USA/NV-NSPHL-A0015/2020	3	3	3	3	3	2
USA/NV-NSPHL-A0016/2020	11	10	7	7	6	1
USA/NV-NSPHL-A0017/2020	11	10	7	7	6	1
USA/NV-NSPHL-A0018/2020	24	8	2	2	2	2
USA/NV-NSPHL-A0019/2020	7	6	2	2	2	2
USA/NV-QDX-2627/2020	92	79	69	8	2	2
USA/NV-QDX-2631/2020	7	6	2	2	2	2
USA/NV-QDX-2652/2020	11	10	7	7	6	1
USA/NV-QDX-2662/2020	11	10	7	7	6	1
USA/NV_0016/2020	84	71	62	53	16	2
USA/NV_0052/2020	38	31	24	21	9	2
USA/NY-CDC-KCHZ-3733/2020	24	8	2	2	2	2
USA/NY-DFS-PHL-0010/2020	73	7	5	5	4	1
USA/NY-MSK-9A/2020	34	27	20	18	8	1
USA/NY-MSK-9Ai/2020	34	27	20	18	8	1
USA/NY-NYCPHL-000001/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000002/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000003/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000005/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000006/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000007/2020	73	7	5	5	4	1
USA/NY-NYCPHL-000009/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000010/2020	26	19	12	11	2	2
USA/NY-NYCPHL-000012/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000013/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000014/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000015/2020	68	57	49	41	2	2
USA/NY-NYCPHL-000016/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000017/2020	9	8	2	2	2	2
USA/NY-NYCPHL-000019/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000021/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000022/2020	24	8	2	2	2	2
USA/NY-NYCPHL-000023/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000024/2020	24	8	2	2	2	2
USA/NY-NYCPHL-000025/2020	36	29	22	8	2	2
USA/NY-NYCPHL-000026/2020	80	68	59	50	15	2
USA/NY-NYCPHL-000027/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000028/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000029/2020	23	17	10	9	2	2
USA/NY-NYCPHL-000030/2020	9	8	2	2	2	2
USA/NY-NYCPHL-000031/2020	68	57	49	41	2	2
USA/NY-NYCPHL-000032/2020	93	80	70	58	17	2
USA/NY-NYCPHL-000033/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000034/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000036/2020	24	8	2	2	2	2
USA/NY-NYCPHL-000037/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000038/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000039/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000040/2020	24	8	2	2	2	2
USA/NY-NYCPHL-000041/2020	13	3	3	3	3	2
USA/NY-NYCPHL-000042/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000044/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000045/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000046/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000047/2020	26	19	12	11	2	2
USA/NY-NYCPHL-000048/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000049/2020	80	68	59	50	15	2
USA/NY-NYCPHL-000050/2020	24	8	2	2	2	2
USA/NY-NYCPHL-000051/2020	24	8	2	2	2	2
USA/NY-NYCPHL-000052/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000053/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000054/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000055/2020	23	17	10	9	2	2
USA/NY-NYCPHL-000063/2020	14	12	3	3	3	2
USA/NY-NYCPHL-000065/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000066/2020	9	8	2	2	2	2
USA/NY-NYCPHL-000067/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000068/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000069/2020	9	8	2	2	2	2
USA/NY-NYCPHL-000070/2020	13	3	3	3	3	2
USA/NY-NYCPHL-000071/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000072/2020	57	47	39	32	2	2
USA/NY-NYCPHL-000073/2020	24	8	2	2	2	2
USA/NY-NYCPHL-000074/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000075/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000076/2020	94	81	71	59	2	2
USA/NY-NYCPHL-000077/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000078/2020	95	82	72	60	2	2
USA/NY-NYCPHL-000079/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000235/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000259/2020	9	8	2	2	2	2
USA/NY-NYCPHL-000260/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000261/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000300/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000301/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000302/2020	57	47	39	32	2	2
USA/NY-NYCPHL-000303/2020	68	57	49	41	2	2
USA/NY-NYCPHL-000304/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000305/2020	89	76	66	56	2	2
USA/NY-NYCPHL-000306/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000307/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000308/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000309/2020	95	82	72	60	2	2
USA/NY-NYCPHL-000310/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000311/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000312/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000353/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000354/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000356/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000357/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000360/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000361/2020	13	3	3	3	3	2
USA/NY-NYCPHL-000363/2020	24	8	2	2	2	2
USA/NY-NYCPHL-000364/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000368/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000396/2020	73	7	5	5	4	1
USA/NY-NYCPHL-000397/2020	24	8	2	2	2	2
USA/NY-NYCPHL-000439/2020	11	10	7	7	6	1
USA/NY-NYCPHL-000440/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000521/2020	24	8	2	2	2	2
USA/NY-NYCPHL-000522/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000532/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000580/2020	26	19	12	11	2	2
USA/NY-NYCPHL-000581/2020	26	19	12	11	2	2
USA/NY-NYCPHL-000582/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000583/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000584/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000585/2020	68	57	49	41	2	2
USA/NY-NYCPHL-000586/2020	68	57	49	41	2	2
USA/NY-NYCPHL-000587/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000588/2020	24	8	2	2	2	2
USA/NY-NYCPHL-000589/2020	9	8	2	2	2	2
USA/NY-NYCPHL-000590/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000591/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000592/2020	57	47	39	32	2	2
USA/NY-NYCPHL-000593/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000594/2020	9	8	2	2	2	2
USA/NY-NYCPHL-000595/2020	9	8	2	2	2	2
USA/NY-NYCPHL-000596/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000597/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000598/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000599/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000600/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000601/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000602/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000603/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000604/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000606/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000607/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000608/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000609/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000610/2020	9	8	2	2	2	2
USA/NY-NYCPHL-000611/2020	24	8	2	2	2	2
USA/NY-NYCPHL-000612/2020	24	8	2	2	2	2
USA/NY-NYCPHL-000613/2020	94	81	71	59	2	2
USA/NY-NYCPHL-000614/2020	94	81	71	59	2	2
USA/NY-NYCPHL-000615/2020	14	12	3	3	3	2
USA/NY-NYCPHL-000617/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000618/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000619/2020	24	8	2	2	2	2
USA/NY-NYCPHL-000620/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000621/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000622/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000623/2020	9	8	2	2	2	2
USA/NY-NYCPHL-000624/2020	68	57	49	41	2	2
USA/NY-NYCPHL-000634/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000636/2020	24	8	2	2	2	2
USA/NY-NYCPHL-000641/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000647/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000673/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000674/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000675/2020	24	8	2	2	2	2
USA/NY-NYCPHL-000676/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000677/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000678/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000679/2020	24	8	2	2	2	2
USA/NY-NYCPHL-000681/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000682/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000683/2020	57	47	39	32	2	2
USA/NY-NYCPHL-000684/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000685/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000686/2020	95	82	72	60	2	2
USA/NY-NYCPHL-000687/2020	95	82	72	60	2	2
USA/NY-NYCPHL-000689/2020	24	8	2	2	2	2
USA/NY-NYCPHL-000690/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000691/2020	24	8	2	2	2	2
USA/NY-NYCPHL-000692/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000693/2020	7	6	2	2	2	2
USA/NY-NYCPHL-000694/2020	95	82	72	60	2	2
USA/NY-NYCPHL-000695/2020	7	6	2	2	2	2
USA/NY-NYU-VC-002/2020	38	31	24	21	9	2
USA/NY-NYU-VC-003/2020	7	6	2	2	2	2
USA/NY-NYUMC1/2020	38	31	24	21	9	2
USA/NY-NYUMC11/2020	7	6	2	2	2	2
USA/NY-NYUMC12/2020	7	6	2	2	2	2
USA/NY-NYUMC20/2020	44	37	29	24	2	2
USA/NY-NYUMC21/2020	7	6	2	2	2	2
USA/NY-NYUMC22/2020	7	6	2	2	2	2
USA/NY-NYUMC23/2020	5	3	3	3	3	2
USA/NY-PHL-000011/2020	24	8	2	2	2	2
USA/NY-PRL-20210201_03B02/2020	96	83	73	8	2	2
USA/NY-PV08122/2020	36	29	22	8	2	2
USA/NY-PV08123/2020	36	29	22	8	2	2
USA/NY-PV08124/2020	36	29	22	8	2	2
USA/NY-PV08125/2020	35	28	21	19	2	2
USA/NY-PV08127/2020	7	6	2	2	2	2
USA/NY-PV08133/2020	7	6	2	2	2	2
USA/NY-PV08138/2020	7	6	2	2	2	2
USA/NY-PV08148/2020	1	1	1	1	1	1
USA/NY-PV08149/2020	7	6	2	2	2	2
USA/NY-PV08400/2020	7	6	2	2	2	2
USA/NY-PV08472/2020	7	6	2	2	2	2
USA/NY-PV09357/2020	7	6	2	2	2	2
USA/NY-PV09360/2020	9	8	2	2	2	2
USA/NY-PV09362/2020	97	84	74	61	2	2
USA/NY-PV09406/2020	7	6	2	2	2	2
USA/NY-PV09407/2020	7	6	2	2	2	2
USA/NY-PV09408/2020	7	6	2	2	2	2
USA/NY-PV09409/2020	7	6	2	2	2	2
USA/NY-PV09410/2020	7	6	2	2	2	2
USA/NY-PV09411/2020	11	10	7	7	6	1
USA/NY-PV09412/2020	7	6	2	2	2	2
USA/NY-PV09413/2020	23	17	10	9	2	2
USA/NY-PV09414/2020	36	29	22	8	2	2
USA/NY-PV09415/2020	7	6	2	2	2	2
USA/NY-PV09416/2020	7	6	2	2	2	2
USA/NY-PV09418/2020	7	6	2	2	2	2
USA/NY-PV09419/2020	7	6	2	2	2	2
USA/NY-PV09420/2020	7	6	2	2	2	2
USA/NY-PV09421/2020	36	29	22	8	2	2
USA/NY-PV09422/2020	36	29	22	8	2	2
USA/NY-PV09423/2020	1	1	1	1	1	1
USA/NY-PV09425/2020	57	47	39	32	2	2
USA/NY-PV09427/2020	7	6	2	2	2	2
USA/NY-PV09428/2020	7	6	2	2	2	2
USA/NY-PV09429/2020	7	6	2	2	2	2
USA/NY-PV09430/2020	9	8	2	2	2	2
USA/NY-PV09431/2020	98	85	75	62	2	2
USA/NY-PV09432/2020	9	8	2	2	2	2
USA/NY-PV09433/2020	11	10	7	7	6	1
USA/NY-PV09434/2020	99	86	76	63	2	2
USA/NY-PV09435/2020	7	6	2	2	2	2
USA/NY-PV09436/2020	36	29	22	8	2	2
USA/NY-PV09437/2020	7	6	2	2	2	2
USA/NY-PV09438/2020	34	27	20	18	8	1
USA/NY-PV09439/2020	7	6	2	2	2	2
USA/NY-PV09440/2020	7	6	2	2	2	2
USA/NY-PV09441/2020	7	6	2	2	2	2
USA/NY-PV09442/2020	7	6	2	2	2	2
USA/NY-PV09444/2020	24	8	2	2	2	2
USA/NY-PV09446/2020	7	6	2	2	2	2
USA/NY-PV09448/2020	100	87	10	9	2	2
USA/NY-PV09449/2020	7	6	2	2	2	2
USA/NY-QDX-01/2020	7	6	2	2	2	2
USA/NY-QDX-100/2020	24	8	2	2	2	2
USA/NY-QDX-102/2020	7	6	2	2	2	2
USA/NY-QDX-105/2020	38	31	24	21	9	2
USA/NY-QDX-106/2020	36	29	22	8	2	2
USA/NY-QDX-108/2020	13	3	3	3	3	2
USA/NY-QDX-109/2020	7	6	2	2	2	2
USA/NY-QDX-112/2020	7	6	2	2	2	2
USA/NY-QDX-1174/2020	44	37	29	24	2	2
USA/NY-QDX-1175/2020	35	28	21	19	2	2
USA/NY-QDX-1176/2020	7	6	2	2	2	2
USA/NY-QDX-1177/2020	7	6	2	2	2	2
USA/NY-QDX-1178/2020	7	6	2	2	2	2
USA/NY-QDX-1179/2020	44	37	29	24	2	2
USA/NY-QDX-1181/2020	24	8	2	2	2	2
USA/NY-QDX-1182/2020	11	10	7	7	6	1
USA/NY-QDX-1184/2020	7	6	2	2	2	2
USA/NY-QDX-1251/2020	7	6	2	2	2	2
USA/NY-QDX-1263/2020	44	37	29	24	2	2
USA/NY-QDX-1264/2020	7	6	2	2	2	2
USA/NY-QDX-134/2020	7	6	2	2	2	2
USA/NY-QDX-140/2020	68	57	49	41	2	2
USA/NY-QDX-143/2020	7	6	2	2	2	2
USA/NY-QDX-146/2020	9	8	2	2	2	2
USA/NY-QDX-147/2020	7	6	2	2	2	2
USA/NY-QDX-1876/2020	7	6	2	2	2	2
USA/NY-QDX-1877/2020	7	6	2	2	2	2
USA/NY-QDX-1885/2020	93	80	70	58	17	2
USA/NY-QDX-1890/2020	35	28	21	19	2	2
USA/NY-QDX-1893/2020	7	6	2	2	2	2
USA/NY-QDX-1894/2020	101	88	77	8	2	2
USA/NY-QDX-1898/2020	57	47	39	32	2	2
USA/NY-QDX-1908/2020	5	3	3	3	3	2
USA/NY-QDX-1911/2020	7	6	2	2	2	2
USA/NY-QDX-1912/2020	5	3	3	3	3	2
USA/NY-QDX-1913/2020	7	6	2	2	2	2
USA/NY-QDX-1922/2020	7	6	2	2	2	2
USA/NY-QDX-1928/2020	7	6	2	2	2	2
USA/NY-QDX-1929/2020	93	80	70	58	17	2
USA/NY-QDX-1933/2020	7	6	2	2	2	2
USA/NY-QDX-1934/2020	101	88	77	8	2	2
USA/NY-QDX-1939/2020	7	6	2	2	2	2
USA/NY-QDX-1940/2020	24	8	2	2	2	2
USA/NY-QDX-1942/2020	7	6	2	2	2	2
USA/NY-QDX-1945/2020	7	6	2	2	2	2
USA/NY-QDX-1946/2020	7	6	2	2	2	2
USA/NY-QDX-1947/2020	7	6	2	2	2	2
USA/NY-QDX-1948/2020	7	6	2	2	2	2
USA/NY-QDX-1949/2020	7	6	2	2	2	2
USA/NY-QDX-1956/2020	7	6	2	2	2	2
USA/NY-QDX-1969/2020	93	80	70	58	17	2
USA/NY-QDX-1970/2020	7	6	2	2	2	2
USA/NY-QDX-1972/2020	7	6	2	2	2	2
USA/NY-QDX-1977/2020	68	57	49	41	2	2
USA/NY-QDX-2125/2020	36	29	22	8	2	2
USA/NY-QDX-2188/2020	7	6	2	2	2	2
USA/NY-QDX-2198/2020	7	6	2	2	2	2
USA/NY-QDX-2227/2020	7	6	2	2	2	2
USA/NY-QDX-2231/2020	37	30	23	20	5	2
USA/NY-QDX-2237/2020	13	3	3	3	3	2
USA/NY-QDX-2243/2020	7	6	2	2	2	2
USA/NY-QDX-2266/2020	9	8	2	2	2	2
USA/NY-QDX-2277/2020	7	6	2	2	2	2
USA/NY-QDX-2292/2020	7	6	2	2	2	2
USA/NY-QDX-2293/2020	7	6	2	2	2	2
USA/NY-QDX-2304/2020	7	6	2	2	2	2
USA/NY-QDX-2364/2020	36	29	22	8	2	2
USA/NY-QDX-24/2020	7	6	2	2	2	2
USA/NY-QDX-2431/2020	36	29	22	8	2	2
USA/NY-QDX-2439/2020	7	6	2	2	2	2
USA/NY-QDX-2444/2020	7	6	2	2	2	2
USA/NY-QDX-2446/2020	7	6	2	2	2	2
USA/NY-QDX-2447/2020	7	6	2	2	2	2
USA/NY-QDX-2453/2020	7	6	2	2	2	2
USA/NY-QDX-2463/2020	36	29	22	8	2	2
USA/NY-QDX-2465/2020	7	6	2	2	2	2
USA/NY-QDX-2466/2020	9	8	2	2	2	2
USA/NY-QDX-2467/2020	7	6	2	2	2	2
USA/NY-QDX-2473/2020	9	8	2	2	2	2
USA/NY-QDX-2474/2020	21	16	9	8	2	2
USA/NY-QDX-2483/2020	7	6	2	2	2	2
USA/NY-QDX-2486/2020	7	6	2	2	2	2
USA/NY-QDX-2494/2020	7	6	2	2	2	2
USA/NY-QDX-2498/2020	7	6	2	2	2	2
USA/NY-QDX-2499/2020	24	8	2	2	2	2
USA/NY-QDX-2501/2020	7	6	2	2	2	2
USA/NY-QDX-2508/2020	7	6	2	2	2	2
USA/NY-QDX-2521/2020	7	6	2	2	2	2
USA/NY-QDX-2522/2020	7	6	2	2	2	2
USA/NY-QDX-2528/2020	57	47	39	32	2	2
USA/NY-QDX-2529/2020	7	6	2	2	2	2
USA/NY-QDX-2535/2020	7	6	2	2	2	2
USA/NY-QDX-2539/2020	36	29	22	8	2	2
USA/NY-QDX-2543/2020	7	6	2	2	2	2
USA/NY-QDX-2545/2020	7	6	2	2	2	2
USA/NY-QDX-2546/2020	7	6	2	2	2	2
USA/NY-QDX-2651/2020	7	6	2	2	2	2
USA/NY-QDX-2661/2020	38	31	24	21	9	2
USA/NY-QDX-2667/2020	7	6	2	2	2	2
USA/NY-QDX-2682/2020	7	6	2	2	2	2
USA/NY-QDX-2689/2020	7	6	2	2	2	2
USA/NY-QDX-2693/2020	7	6	2	2	2	2
USA/NY-QDX-2696/2020	7	6	2	2	2	2
USA/NY-QDX-2698/2020	7	6	2	2	2	2
USA/NY-QDX-2701/2020	7	6	2	2	2	2
USA/NY-QDX-2702/2020	7	6	2	2	2	2
USA/NY-QDX-2706/2020	7	6	2	2	2	2
USA/NY-QDX-2707/2020	7	6	2	2	2	2
USA/NY-QDX-2711/2020	34	27	20	18	8	1
USA/NY-QDX-2712/2020	7	6	2	2	2	2
USA/NY-QDX-2714/2020	7	6	2	2	2	2
USA/NY-QDX-2729/2020	7	6	2	2	2	2
USA/NY-QDX-2731/2020	7	6	2	2	2	2
USA/NY-QDX-2734/2020	7	6	2	2	2	2
USA/NY-QDX-2735/2020	7	6	2	2	2	2
USA/NY-QDX-35/2020	7	6	2	2	2	2
USA/NY-QDX-75/2020	24	8	2	2	2	2
USA/NY-QDX-81/2020	11	10	7	7	6	1
USA/NY-QDX-87/2020	7	6	2	2	2	2
USA/NY-QDX-88/2020	7	6	2	2	2	2
USA/NY-QDX-90/2020	7	6	2	2	2	2
USA/NY-QDX-91/2020	9	8	2	2	2	2
USA/NY-QDX-94/2020	24	8	2	2	2	2
USA/NY-QDX-95/2020	7	6	2	2	2	2
USA/NY-QDX-96/2020	7	6	2	2	2	2
USA/NY-SURV0144/2020	3	3	3	3	3	2
USA/NY-SURV0162/2020	102	6	2	2	2	2
USA/NY-SURV0165/2020	13	3	3	3	3	2
USA/NY-SURV0166/2020	13	3	3	3	3	2
USA/NY-SURV0168/2020	13	3	3	3	3	2
USA/NY-SURV0171/2020	19	8	2	2	2	2
USA/NY-SURV0175/2020	102	6	2	2	2	2
USA/NY-SURV0302/2020	102	6	2	2	2	2
USA/NY-SURV0319/2020	102	6	2	2	2	2
USA/NY-SURV0331/2020	102	6	2	2	2	2
USA/NY-SURV0334/2020	19	8	2	2	2	2
USA/NY-SURV0440/2020	102	6	2	2	2	2
USA/NY-SURV0444/2020	102	6	2	2	2	2
USA/NY-SURV0472/2020	11	10	7	7	6	1
USA/NY-SURV0475/2020	102	6	2	2	2	2
USA/NY-SURV0495/2020	102	6	2	2	2	2
USA/NY-SURV052/2020	11	10	7	7	6	1
USA/NY-SURV0592/2020	102	6	2	2	2	2
USA/NY-SURV076/2020	7	6	2	2	2	2
USA/NY-SURV0862/2020	102	6	2	2	2	2
USA/NY-SURV0863/2020	102	6	2	2	2	2
USA/NY-SURV0874/2020	5	3	3	3	3	2
USA/NY-SURV097/2020	5	3	3	3	3	2
USA/NY-WC-13741-01/2020	34	27	20	18	8	1
USA/NY-WCM-0001-1-P/2020	7	6	2	2	2	2
USA/NY-WCM-0003-1-P/2020	14	12	3	3	3	2
USA/NY-WCM-0009-1-P/2020	7	6	2	2	2	2
USA/NY-WCM-0009-2-P/2020	7	6	2	2	2	2
USA/NY-WCM-0018-1-P/2020	7	6	2	2	2	2
USA/NY-WCM-0023-1-P/2020	7	6	2	2	2	2
USA/NY-WCM-0024-1-P/2020	24	8	2	2	2	2
USA/NY-WCM-0026-1-P/2020	57	47	39	32	2	2
USA/NY-WCM-0032-1-P/2020	7	6	2	2	2	2
USA/NY-WCM-0037-1-P/2020	57	47	39	32	2	2
USA/NY-WCM-0038-1-P/2020	44	37	29	24	2	2
USA/NY-WCM-0043-1-P/2020	7	6	2	2	2	2
USA/NY-WCM-0044-1-P/2020	7	6	2	2	2	2
USA/NY-WCM-0045-1-P/2020	7	6	2	2	2	2
USA/NY-WCM-0062-1-P/2020	7	6	2	2	2	2
USA/NY-WCM-0063-1-P/2020	53	43	35	29	2	2
USA/NY-WCM-0066-1-P/2020	53	43	35	29	2	2
USA/NY-WCM-0068-1-P/2020	24	8	2	2	2	2
USA/NY-WCM-0069-1-P/2020	7	6	2	2	2	2
USA/NY-WCM-0070-1-P/2020	7	6	2	2	2	2
USA/NY-WCM-0077-1-P/2020	7	6	2	2	2	2
USA/NY-WCM-0091-1-P/2020	7	6	2	2	2	2
USA/NY-WCM-0091-2-P/2020	7	6	2	2	2	2
USA/NY-WCM-0101-1-P/2020	14	12	3	3	3	2
USA/NY-WCM-0115-2-P/2020	11	10	7	7	6	1
USA/NY-WCM-0116-1-P/2020	102	6	2	2	2	2
USA/NY-WCM-0119-1-P/2020	7	6	2	2	2	2
USA/NY-WCM-0123-1-P/2020	7	6	2	2	2	2
USA/NY-WCM-0144-1-P/2020	7	6	2	2	2	2
USA/NY-WCM-0145-1-P/2020	7	6	2	2	2	2
USA/NY-WCM-0146-1-N/2020	7	6	2	2	2	2
USA/NY-WCM-0147-1-N/2020	102	6	2	2	2	2
