Strain	0	1	2	3	4	5
Nanchang/JX14/2020	14	12	3	3	3	2
Nanchang/JX149/2020	1	1	1	1	1	1
Nanchang/JX155/2020	5	3	3	3	3	2
Nanchang/JX174/2020	1	1	1	1	1	1
Nanchang/JX176/2020	3	3	3	3	3	2
Nanchang/JX177/2020	1	1	1	1	1	1
Nanchang/JX39/2020	1	1	1	1	1	1
Nanchang/JX90/2020	1	1	1	1	1	1
Nanchang/JXN3T4/2020	1	1	1	1	1	1
Pingxiang/JX151/2020	3	3	3	3	3	2
Shandong/2020C1240054/2020	3	3	3	3	3	2
Shandong/2020C1240062/2020	5	3	3	3	3	2
Shandong/2020C1240070/2020	1	1	1	1	1	1
Shandong/2020C1240071/2020	14	12	3	3	3	2
Shandong/2020C1240086/2020	3	3	3	3	3	2
Shandong/2020C1240111/2020	1	1	1	1	1	1
Shandong/2020C1240116/2020	1	1	1	1	1	1
Shandong/2020C1240125/2020	3	3	3	3	3	2
Shandong/2020C1240126/2020	3	3	3	3	3	2
Shandong/2020C1240134/2020	1	1	1	1	1	1
Shandong/2020C1240145/2020	1	1	1	1	1	1
Shandong/2020C1240146/2020	3	3	3	3	3	2
Shandong/2020C1240152/2020	1	1	1	1	1	1
Shandong/2020C1240157/2020	11	10	7	7	6	1
Shandong/2020C1240203/2020	3	3	3	3	3	2
Shandong/2020C1240214/2020	3	3	3	3	3	2
Shandong/2020C1240229/2020	11	10	7	7	6	1
Shandong/2020C1240247/2020	3	3	3	3	3	2
Shandong/2020C1240260/2020	3	3	3	3	3	2
Shandong/2020C1240275/2020	19	8	2	2	2	2
Shandong/2020C1240289/2020	3	3	3	3	3	2
Shandong/2020C1240292/2020	14	12	3	3	3	2
Shandong/2020C1240293/2020	14	12	3	3	3	2
Shandong/2020C1240295/2020	5	3	3	3	3	2
Shandong/2020C1240299/2020	3	3	3	3	3	2
Shandong/2020C1240303/2020	1	1	1	1	1	1
Shandong/2020C1240309/2020	3	3	3	3	3	2
Shandong/2020C1240310/2020	1	1	1	1	1	1
Shandong/2020C1240312/2020	11	10	7	7	6	1
Shandong/2020C1240314/2020	5	3	3	3	3	2
Shandong/2020C1240355/2020	3	3	3	3	3	2
Shandong/2020C1240360/2020	3	3	3	3	3	2
Shandong/2020C1240367/2020	1	1	1	1	1	1
Shandong/2020C1240371/2020	3	3	3	3	3	2
Shandong/2020C1240377/2020	3	3	3	3	3	2
Shandong/2020C1240380/2020	3	3	3	3	3	2
Shandong/2020C1240381/2020	3	3	3	3	3	2
Shandong/2020C1240383/2020	5	3	3	3	3	2
Shandong/2020C1240384/2020	5	3	3	3	3	2
Shandong/2020C1240386/2020	5	3	3	3	3	2
Shandong/2020C1240402/2020	14	12	3	3	3	2
Shandong/2020C1240428/2020	14	12	3	3	3	2
Shandong/2020C1240460/2020	3	3	3	3	3	2
Shandong/2020C1240470/2020	1	1	1	1	1	1
Shandong/2020C1240476/2020	1	1	1	1	1	1
Shandong/2020C1240500/2020	5	3	3	3	3	2
Shandong/2020C1240512/2020	3	3	3	3	3	2
Shandong/2020C1240525/2020	1	1	1	1	1	1
Shandong/2020C1240526/2020	1	1	1	1	1	1
Shandong/2020C1240530/2020	7	6	2	2	2	2
Shandong/2020C1240531/2020	9	8	2	2	2	2
Shandong/2020C1240533/2020	3	3	3	3	3	2
Shandong/2020C1240548/2020	1	1	1	1	1	1
Shandong/2020C1240550/2020	1	1	1	1	1	1
Shandong/2020C1240551/2020	1	1	1	1	1	1
Shandong/2020C1240555/2020	3	3	3	3	3	2
Shandong/2020C1240557/2020	1	1	1	1	1	1
Shandong/2020C1240619/2020	1	1	1	1	1	1
Shandong/2020C1240636/2020	1	1	1	1	1	1
Shandong/2020C1240639/2020	1	1	1	1	1	1
Shandong/2020C1240764/2020	3	3	3	3	3	2
Shandong/IVDC-SD-001/2020	5	3	3	3	3	2
Shandong/LY001-2/2020	14	12	3	3	3	2
Shandong/LY002-2/2020	14	12	3	3	3	2
Shandong/LY003-2/2020	14	12	3	3	3	2
Shandong/LY004-2/2020	14	12	3	3	3	2
Shandong/LY005-2/2020	14	12	3	3	3	2
Shandong/LY006-2/2020	14	12	3	3	3	2
Shandong/LY007-2/2020	14	12	3	3	3	2
Shandong/LY008-2/2020	14	12	3	3	3	2
Shanghai/CH-02/2020	3	3	3	3	3	2
Shanghai/CH-03/2020	11	10	7	7	6	1
Shanghai/IVDC-SH-001/2020	1	1	1	1	1	1
Shanghai/SH0002/2020	1	1	1	1	1	1
Shanghai/SH0003/2020	1	1	1	1	1	1
Shanghai/SH0004/2020	1	1	1	1	1	1
Shanghai/SH0005/2020	1	1	1	1	1	1
Shanghai/SH0007/2020	3	3	3	3	3	2
Shanghai/SH0008/2020	3	3	3	3	3	2
Shanghai/SH0009/2020	14	12	3	3	3	2
Shanghai/SH0010/2020	1	1	1	1	1	1
Shanghai/SH0011/2020	3	3	3	3	3	2
Shanghai/SH0012/2020	5	3	3	3	3	2
Shanghai/SH0013/2020	1	1	1	1	1	1
Shanghai/SH0014/2020	2	2	2	2	2	2
Shanghai/SH0017/2020	1	1	1	1	1	1
Shanghai/SH0020/2020	3	3	3	3	3	2
Shanghai/SH0021/2020	1	1	1	1	1	1
Shanghai/SH0022/2020	20	9	6	6	5	2
Shanghai/SH0023/2020	20	9	6	6	5	2
Shanghai/SH0024/2020	1	1	1	1	1	1
Shanghai/SH0025/2020	2	2	2	2	2	2
Shanghai/SH0026/2020	14	12	3	3	3	2
Shanghai/SH0027/2020	3	3	3	3	3	2
Shanghai/SH0028/2020	3	3	3	3	3	2
Shanghai/SH0029/2020	1	1	1	1	1	1
Shanghai/SH0030/2020	14	12	3	3	3	2
Shanghai/SH0031/2020	3	3	3	3	3	2
Shanghai/SH0032/2020	1	1	1	1	1	1
Shanghai/SH0033/2020	5	3	3	3	3	2
Shanghai/SH0034/2020	14	12	3	3	3	2
Shanghai/SH0035/2020	1	1	1	1	1	1
Shanghai/SH0036/2020	3	3	3	3	3	2
Shanghai/SH0037/2020	5	3	3	3	3	2
Shanghai/SH0038/2020	3	3	3	3	3	2
Shanghai/SH0039/2020	3	3	3	3	3	2
Shanghai/SH0040/2020	5	3	3	3	3	2
Shanghai/SH0041/2020	14	12	3	3	3	2
Shanghai/SH0042/2020	5	3	3	3	3	2
Shanghai/SH0043/2020	1	1	1	1	1	1
Shanghai/SH0044/2020	3	3	3	3	3	2
Shanghai/SH0045/2020	5	3	3	3	3	2
Shanghai/SH0047/2020	3	3	3	3	3	2
Shanghai/SH0048/2020	3	3	3	3	3	2
Shanghai/SH0049/2020	1	1	1	1	1	1
Shanghai/SH0050/2020	3	3	3	3	3	2
Shanghai/SH0051/2020	3	3	3	3	3	2
Shanghai/SH0052/2020	5	3	3	3	3	2
Shanghai/SH0053/2020	3	3	3	3	3	2
Shanghai/SH0054/2020	3	3	3	3	3	2
Shanghai/SH0055/2020	3	3	3	3	3	2
Shanghai/SH0056/2020	5	3	3	3	3	2
Shanghai/SH0058/2020	3	3	3	3	3	2
Shanghai/SH0059/2020	1	1	1	1	1	1
Shanghai/SH0060/2020	3	3	3	3	3	2
Shanghai/SH0065/2020	1	1	1	1	1	1
Shanghai/SH0066/2020	3	3	3	3	3	2
Shanghai/SH0067/2020	3	3	3	3	3	2
Shanghai/SH0068/2020	5	3	3	3	3	2
Shanghai/SH0069/2020	14	12	3	3	3	2
Shanghai/SH0070/2020	20	9	6	6	5	2
Shanghai/SH0071/2020	3	3	3	3	3	2
Shanghai/SH0072/2020	3	3	3	3	3	2
Shanghai/SH0073/2020	3	3	3	3	3	2
Shanghai/SH0074/2020	1	1	1	1	1	1
Shanghai/SH0075/2020	14	12	3	3	3	2
Shanghai/SH0076/2020	3	3	3	3	3	2
Shanghai/SH0077/2020	3	3	3	3	3	2
Shanghai/SH0079/2020	1	1	1	1	1	1
Shanghai/SH0080/2020	20	9	6	6	5	2
